Price,Close,High,Low,Open,Volume
Ticker,LIN,LIN,LIN,LIN,LIN
Date,,,,,
2019-01-11,146.20730590820312,146.70922357952546,145.44071314036478,146.52670679675936,1380400
2019-01-14,144.20870971679688,145.55935057544906,143.91667173377076,144.52811059495207,2004800
2019-01-15,143.48777770996094,144.07183986509526,142.85808287041266,143.13186505175628,2110700
2019-01-16,143.49691772460938,144.57377670449273,143.35089869932804,143.76156502343372,1382100
2019-01-17,143.51513671875,143.87104933276953,142.55692009071635,142.73030198974047,2176500
2019-01-18,146.73660278320312,147.3389207087351,144.19958186368888,144.88403025402843,2494800
2019-01-22,146.7822265625,147.6400707210757,145.7327446643243,147.48493076635373,1699100
2019-01-23,145.03916931152344,147.01038400541256,143.6976632859707,146.5358431505096,1569500
2019-01-24,143.61553955078125,144.10835025769674,142.75769522219065,143.83456807887035,2528000
2019-01-25,144.95704650878906,146.11604973614917,144.77452971455364,144.8201623943972,1242700
2019-01-28,144.3821258544922,144.54638679921572,143.16836892630155,143.98970150019807,1422500
2019-01-29,147.1289825439453,147.84080754031388,145.4224295302327,145.62320211127346,1558300
2019-01-30,148.6804656982422,149.43792371541966,147.07429821822933,147.6492254938099,1113500
2019-01-31,148.76258850097656,149.136757006747,145.67801686414307,147.09253256254877,1645900
2019-02-01,151.27220153808594,151.39996466904594,149.17323780447677,149.5839040164813,1324300
2019-02-04,149.2097930908203,151.20838520794948,148.9542667304254,151.01673347508216,2106500
2019-02-05,150.56956481933594,151.4821629150162,149.48357085745374,150.81595627906748,2358600
2019-02-06,149.13673400878906,150.23184860728722,148.78994238129522,149.62040973916857,1124800
2019-02-07,146.64537048339844,148.0599001263257,145.4954881255327,147.61272210658458,1361000
2019-02-08,147.1289825439453,147.4848950421296,145.1760242852947,146.07950089997814,1557900
2019-02-11,147.2476806640625,147.49407207753697,146.59060904451877,146.9830194679228,1128400
2019-02-12,152.88751220703125,152.90576806253384,149.56565668758122,149.78468517819928,1772000
2019-02-13,152.7506103515625,153.7635943745975,152.2121671153443,152.48594921551464,1599300
2019-02-14,151.9475860595703,152.95144955554625,151.42739845025312,152.08447020668424,1104100
2019-02-15,153.8092803955078,155.78963056202153,153.10658987205292,155.63447662812405,2573600
2019-02-19,153.1886749267578,154.02826327373347,152.9148927880371,153.31643806814242,2221200
2019-02-20,155.41542053222656,156.06335722387604,152.9422741697287,152.9422741697287,2574800
2019-02-21,156.41928100585938,157.24062750515728,155.63444622216016,156.03599154290944,1736500
2019-02-22,158.33572387695312,158.55475236971725,156.55616088930023,157.18585562150153,1075700
2019-02-25,159.35784912109375,159.71376176357896,158.23535754481568,158.69165651852185,1526800
2019-02-26,158.7098846435547,159.60422657670242,158.2900835340396,158.60036343990802,1739200
2019-02-27,159.24832153320312,159.81412773246325,157.5417680450232,158.24445834889858,1451800
2019-02-28,158.09844970703125,159.64072830968965,157.97068657056434,159.53122102847158,1698300
2019-03-01,153.6632080078125,161.28339058786136,153.18865329604773,160.94573388869551,3033500
2019-03-04,153.95523071289062,154.14688235882753,151.55510820747492,153.63582986984372,1738100
2019-03-05,153.71795654296875,155.08685307272665,153.63582609321583,153.63582609321583,1205900
2019-03-06,154.34765625,154.84957385397365,153.50806802182373,154.08299511413483,986800
2019-03-07,153.62757873535156,155.36135808643863,153.03131082001278,155.36135808643863,1450100
2019-03-08,155.45309448242188,155.50813287363673,153.89359874436775,154.80177419208155,1558400
2019-03-11,157.12265014648438,157.1501693415911,155.41639006208834,155.47142845230175,1188800
2019-03-12,158.07672119140625,158.608768381413,157.22358401214495,157.58134760407822,1309200
2019-03-13,159.97561645507812,161.00303723566094,159.28760846860393,159.62702126271253,1538500
2019-03-14,159.8104705810547,160.0214557370912,158.85642518430967,159.84715817436535,1033200
2019-03-15,161.84693908691406,162.3331441160949,160.012251723022,161.70934313364364,3661400
2019-03-18,160.12234497070312,160.48927685016037,159.09491051262575,160.30581091043175,1220400
2019-03-19,159.2325439453125,161.25986597421766,158.35188770818195,160.85624644632034,1251600
2019-03-20,162.0304412841797,162.25059483966123,159.9480669207308,160.8562423297592,1536400
2019-03-21,160.6269073486328,161.29656441319622,159.34261761115332,159.92971709191212,1146300
2019-03-22,155.82003784179688,158.4803295942251,155.20541909892708,157.87489324893494,1384000
2019-03-25,155.94847106933594,157.70976976876503,155.54483749284137,156.83829581818324,1349700
2019-03-26,156.847412109375,157.1409687938642,155.66404496921655,156.76485454094484,1408100
2019-03-27,155.4713897705078,155.99428234254992,154.74669448374436,155.45305297670293,1821400
2019-03-28,159.3426513671875,159.48026136690297,156.61813854401439,156.82913774406632,1892500
2019-03-29,161.3883056640625,161.54426644496672,159.5077618664569,160.85625851972847,2158100
2019-04-01,161.9845733642578,163.45231507726174,161.45251226911878,162.22307771826254,1791900
2019-04-02,163.30552673339844,163.45229108486689,162.0854579525644,162.67255735109958,1179700
2019-04-03,167.63540649414062,169.2774456925792,165.69981056885538,166.17681925364846,2379600
2019-04-04,168.69952392578125,168.8279515014607,167.34185898323335,168.39681278118792,1471400
2019-04-05,169.3599853515625,170.10303149112698,168.77288595755013,169.33246616102704,1403400
2019-04-08,169.56182861328125,170.55256162024673,168.92885913681255,170.53421082450038,1138500
2019-04-09,167.78221130371094,169.75450929404965,167.64461530330618,169.75450929404965,1388200
2019-04-10,166.05758666992188,168.41515307183045,164.95677685590573,168.23168710242047,2443700
2019-04-11,164.98426818847656,166.78225398162473,164.91087901359546,166.66299482274871,1916400
2019-04-12,165.44297790527344,166.15850502721477,165.25032952741674,165.85577986061543,1914500
2019-04-15,165.2503204345703,165.5163439919129,164.33297658537262,165.2503204345703,1448000
2019-04-16,165.69064331054688,165.74568170247028,164.0210847661261,165.19528378567992,1749700
2019-04-17,165.03933715820312,166.8281548851086,164.57148283131954,165.708994256469,1663300
2019-04-18,165.48883056640625,165.84659412016538,164.8191734524585,165.23197539947952,1547300
2019-04-22,164.11279296875,165.85575451026097,164.0485861843162,164.98428073828296,1002100
2019-04-23,164.50726318359375,164.86502670101555,163.79173614875015,163.88346212901797,1796500
2019-04-24,162.93858337402344,164.6723624056235,162.83767500720845,164.21369055601974,1780200
2019-04-25,161.70938110351562,162.1405338550706,160.4617928432292,161.65434270928426,2229900
2019-04-26,163.5256805419922,163.5256805419922,160.87455784749397,160.93877862438487,1483900
2019-04-29,162.4615936279297,163.52570180465773,161.90201334641463,162.17720529014693,1195400
2019-04-30,165.36036682128906,165.63557272497223,162.72759493725667,163.1679159846175,1404200
2019-05-01,163.55323791503906,166.2227120257862,163.2963827426191,165.02099375534488,1018300
2019-05-02,165.57142639160156,165.57142639160156,162.6175775419781,163.2230139540447,1691000
2019-05-03,166.0025634765625,166.4704038410227,164.4247307995832,164.82835037021448,1248900
2019-05-06,163.86509704589844,164.50723478715187,163.11286855074945,163.13121934265754,1407000
2019-05-07,160.1407470703125,162.25062704949215,158.61795268733505,161.98460345128933,2049600
2019-05-08,161.9478759765625,162.85605142077014,159.8379963345054,160.01227990682747,1264600
2019-05-09,159.02157592773438,160.2691642329326,157.41622404959625,158.88396593964515,1999500
2019-05-10,166.58045959472656,167.15839067596602,159.86551016425182,160.19575449673783,2511800
2019-05-13,165.74566650390625,166.048391629282,163.12207674575993,164.8833751135829,2328500
2019-05-14,165.96583557128906,167.28681285866176,164.92006421837823,165.40625530365355,2029300
