h0303,h0305,h0306,h0307,h0308,h0312,h0317a,h0317g,h0318,h0327,h0324,h0317aint,h0317gint,h0317
4,3,1,1,1,1,1,1,1,4,Estudiante,3,1.0,4.0
3,3,1,1,1,1,0, ,1,4,Estudiante,0,,0.0
57,1,2,3,2,1,2,6,1,3,Empleado,6,6.0,12.0
50,2,2,3,3,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
15,3,2,1,1,1,4,1,1,3,Estudiante,15,1.0,16.0
53,1,2,3,3,1,2,6,1,1,Jubilado o pensionado,6,6.0,12.0
72,1,1,3,3,1,2,6,1,1,Quehaceres del hogar,6,6.0,12.0
30,1,1,2,2,1,4,3,1,2,Empleado,15,3.0,18.0
25,2,1,2,2,1,4,2,1,2,Quehaceres del hogar,15,2.0,17.0
10,3,1,1,1,1,2,4,1,2,Quehaceres del hogar,6,4.0,10.0
4,3,1,1,1,1,1,1,1,2,Estudiante,3,1.0,4.0
2,3,1,1,1,1,0, ,1,2,Estudiante,0,,0.0
0,3,3,1,1,1,0, ,1,2,Estudiante,0,,0.0
65,1,1,3,3,1,2,3,1,3,Incapacitado,6,3.0,9.0
48,2,1,3,3,1,3,2,1,3,Trabajador por su cuenta,12,2.0,14.0
21,3,1,1,1,1,4,3,1,3,Empleado,15,3.0,18.0
19,3,1,1,1,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
9,3,1,1,1,1,2,3,1,3,Estudiante,6,3.0,9.0
61,1,1,1,2,1,2,5,1,3,Estudiante,6,5.0,11.0
84,6,1,3,3,1,2,6,1,3,Otra situación,6,6.0,12.0
41,3,1,1,2,1,3,2,1,3,Trabajador por su cuenta,12,2.0,14.0
49,1,1,2,3,1,4,3,1,3,Trabajador por su cuenta,15,3.0,18.0
24,3,1,1,2,1,10,4,1,3,Trabajador por su cuenta,18,4.0,22.0
24,9,1,2,2,1,4,1,1,3,Empleado,15,1.0,16.0
15,3,1,1,2,1,3,3,1,3,Estudiante,12,3.0,15.0
49,1,1,2,3,1,4,3,1,3,Trabajador por su cuenta,15,3.0,18.0
24,3,1,1,2,1,10,4,1,3,Trabajador por su cuenta,18,4.0,22.0
24,9,1,2,2,1,4,1,1,3,Empleado,15,1.0,16.0
15,3,1,1,2,1,3,3,1,3,Estudiante,12,3.0,15.0
